	UF	televisao por assinatura	televisao com recepcao de sinal digital de tv abertaa	V02270	rede celular 3G ou 4G	conexao discada	banda larga	rendimento mensal domiciliar per capita
303	23	3.0	1.0	1	4.0	4.0	2.0	6.0
304	23	3.0	3.0	0	2.0	4.0	2.0	2.0
308	23	3.0	1.0	1	2.0	4.0	2.0	5.0
309	23	3.0	1.0	1	2.0	4.0	4.0	3.0
318	23	3.0	3.0	0	2.0	4.0	2.0	5.0
319	23	3.0	1.0	1	2.0	4.0	4.0	5.0
321	23	1.0	3.0	1	2.0	4.0	4.0	4.0
323	23	3.0	1.0	1	4.0	4.0	2.0	3.0
325	23	3.0	3.0	2	4.0	4.0	2.0	3.0
329	23	3.0	3.0	1	4.0	4.0	2.0	3.0
330	23	1.0	1.0	1	2.0	2.0	4.0	7.0
333	23	1.0	3.0	1	4.0	4.0	2.0	5.0
339	23	3.0	1.0	0	2.0	4.0	2.0	99.0
341	23	3.0	1.0	1	2.0	4.0	2.0	5.0
342	23	1.0	3.0	1	4.0	4.0	2.0	4.0
343	23	1.0	3.0	1	4.0	4.0	2.0	4.0
345	23	3.0	1.0	0	4.0	2.0	4.0	1.0
347	23	3.0	3.0	0	2.0	4.0	4.0	2.0
349	23	3.0	1.0	1	4.0	4.0	2.0	3.0
350	23	3.0	1.0	1	4.0	4.0	2.0	5.0
355	23	1.0	1.0	2	4.0	4.0	2.0	6.0
356	23	3.0	1.0	0	4.0	4.0	2.0	4.0
357	23	1.0	3.0	1	2.0	4.0	4.0	5.0
392	23	3.0	3.0	5	4.0	4.0	2.0	5.0
396	23	3.0	1.0	1	2.0	4.0	2.0	7.0
401	23	3.0	1.0	1	4.0	4.0	2.0	5.0
403	23	3.0	1.0	1	4.0	4.0	2.0	4.0
406	23	1.0	1.0	1	4.0	2.0	2.0	5.0
409	23	3.0	1.0	2	4.0	4.0	2.0	4.0
411	23	3.0	1.0	1	4.0	4.0	2.0	4.0
412	23	3.0	1.0	1	2.0	4.0	2.0	3.0
419	23	3.0	1.0	0	2.0	4.0	4.0	3.0
421	23	1.0	1.0	3	4.0	4.0	2.0	7.0
422	23	3.0	1.0	1	4.0	2.0	2.0	4.0
427	23	1.0	1.0	1	4.0	4.0	2.0	6.0
440	23	3.0	1.0	0	4.0	4.0	2.0	3.0
442	23	3.0	1.0	0	2.0	2.0	4.0	4.0
444	23	3.0	3.0	0	2.0	4.0	2.0	2.0
445	23	3.0	1.0	2	2.0	4.0	2.0	4.0
446	23	3.0	3.0	1	2.0	4.0	4.0	4.0
453	23	3.0	3.0	0	2.0	4.0	2.0	99.0
455	23	3.0	3.0	0	4.0	4.0	2.0	4.0
456	23	3.0	3.0	1	2.0	4.0	4.0	3.0
457	23	3.0	3.0	1	4.0	4.0	2.0	4.0
458	23	3.0	3.0	1	2.0	4.0	4.0	4.0
461	23	3.0	3.0	1	2.0	4.0	4.0	3.0
466	23	3.0	3.0	0	2.0	4.0	4.0	2.0
478	23	3.0	3.0	1	4.0	4.0	2.0	3.0
480	23	3.0	3.0	1	4.0	4.0	2.0	2.0
484	23	3.0	3.0	1	4.0	2.0	2.0	4.0
486	23	3.0	3.0	0	2.0	4.0	4.0	3.0
488	23	3.0	3.0	0	2.0	4.0	4.0	3.0
489	23	3.0	5.0	0	4.0	4.0	2.0	5.0
491	23	1.0	1.0	2	2.0	4.0	4.0	4.0
493	23	3.0	3.0	0	4.0	4.0	2.0	3.0
505	23	3.0	3.0	1	2.0	4.0	4.0	4.0
525	23	1.0	1.0	1	2.0	2.0	4.0	2.0
535	23	3.0	3.0	1	4.0	4.0	2.0	3.0
536	23	3.0	3.0	1	4.0	4.0	2.0	2.0
538	23	3.0	1.0	1	4.0	4.0	2.0	4.0
540	23	3.0	3.0	1	2.0	4.0	2.0	3.0
550	23	3.0	1.0	0	2.0	4.0	2.0	3.0
552	23	3.0	1.0	1	2.0	4.0	2.0	2.0
561	23	3.0	1.0	2	4.0	4.0	2.0	3.0
567	23	3.0	1.0	1	4.0	4.0	2.0	2.0
589	23	3.0	3.0	0	4.0	4.0	2.0	2.0
592	23	3.0	1.0	1	4.0	4.0	2.0	99.0
594	23	3.0	3.0	1	2.0	4.0	4.0	4.0
596	23	3.0	3.0	1	4.0	4.0	2.0	4.0
598	23	3.0	3.0	1	4.0	4.0	2.0	5.0
600	23	1.0	3.0	1	4.0	4.0	2.0	5.0
601	23	1.0	1.0	1	2.0	4.0	2.0	5.0
603	23	3.0	3.0	0	4.0	4.0	2.0	4.0
608	23	3.0	1.0	1	2.0	4.0	4.0	4.0
611	23	3.0	1.0	0	2.0	4.0	4.0	2.0
612	23	3.0	1.0	1	2.0	4.0	4.0	4.0
