	UF	televisao por assinatura	televisao com recepcao de sinal digital de tv abertaa	V02270	rede celular 3G ou 4G	conexao discada	banda larga	rendimento mensal domiciliar per capita
1	23	3.0	1.0	1	4.0	4.0	2.0	4.0
3	23	1.0	1.0	5	4.0	4.0	2.0	5.0
4	23	3.0	3.0	0	4.0	4.0	2.0	4.0
6	23	1.0	1.0	2	4.0	4.0	2.0	6.0
7	23	1.0	3.0	0	2.0	4.0	4.0	4.0
9	23	3.0	1.0	2	4.0	4.0	2.0	6.0
10	23	1.0	1.0	2	4.0	2.0	2.0	4.0
11	23	3.0	1.0	1	4.0	4.0	2.0	99.0
12	23	3.0	3.0	0	2.0	4.0	4.0	4.0
13	23	3.0	3.0	0	2.0	4.0	4.0	4.0
16	23	3.0	1.0	1	4.0	4.0	2.0	3.0
17	23	3.0	3.0	0	4.0	4.0	2.0	4.0
18	23	1.0	1.0	1	2.0	4.0	2.0	4.0
20	23	3.0	1.0	1	2.0	4.0	4.0	5.0
22	23	3.0	1.0	2	2.0	4.0	2.0	5.0
23	23	3.0	3.0	0	4.0	4.0	2.0	6.0
24	23	3.0	3.0	0	2.0	4.0	4.0	6.0
25	23	3.0	1.0	1	4.0	4.0	2.0	4.0
26	23	1.0	3.0	2	2.0	4.0	4.0	5.0
28	23	3.0	3.0	0	2.0	4.0	4.0	4.0
29	23	3.0	1.0	1	2.0	4.0	4.0	99.0
32	23	3.0	1.0	1	2.0	4.0	2.0	2.0
37	23	3.0	3.0	0	4.0	4.0	2.0	4.0
38	23	3.0	3.0	0	2.0	4.0	4.0	3.0
39	23	3.0	3.0	0	2.0	4.0	4.0	1.0
40	23	3.0	3.0	1	2.0	4.0	4.0	3.0
41	23	1.0	3.0	0	2.0	4.0	4.0	3.0
43	23	3.0	3.0	1	2.0	4.0	2.0	4.0
45	23	3.0	1.0	1	2.0	4.0	2.0	3.0
46	23	3.0	1.0	1	2.0	4.0	4.0	3.0
47	23	3.0	1.0	1	2.0	4.0	2.0	99.0
48	23	1.0	1.0	2	2.0	4.0	2.0	4.0
51	23	3.0	1.0	1	4.0	4.0	2.0	5.0
52	23	3.0	1.0	1	2.0	4.0	4.0	2.0
53	23	3.0	1.0	1	4.0	4.0	2.0	4.0
55	23	3.0	3.0	0	4.0	4.0	2.0	3.0
56	23	3.0	1.0	1	2.0	4.0	4.0	2.0
57	23	3.0	3.0	0	2.0	4.0	4.0	3.0
58	23	3.0	1.0	1	2.0	4.0	4.0	3.0
60	23	1.0	1.0	1	2.0	4.0	4.0	3.0
62	23	3.0	3.0	0	2.0	4.0	4.0	3.0
63	23	3.0	3.0	0	2.0	4.0	4.0	99.0
66	23	3.0	3.0	0	2.0	4.0	4.0	2.0
72	23	3.0	1.0	1	4.0	4.0	2.0	4.0
74	23	3.0	1.0	2	4.0	4.0	2.0	4.0
75	23	3.0	1.0	1	2.0	4.0	4.0	4.0
77	23	3.0	3.0	0	4.0	4.0	2.0	3.0
78	23	1.0	1.0	3	4.0	4.0	2.0	4.0
79	23	3.0	1.0	1	4.0	4.0	2.0	2.0
86	23	1.0	1.0	2	4.0	4.0	2.0	6.0
