	UF	televisao por assinatura	televisao com recepcao de sinal digital de tv abertaa	V02270	rede celular 3G ou 4G	conexao discada	banda larga	rendimento mensal domiciliar per capita
90	23	3.0	3.0	0	2.0	4.0	4.0	1.0
91	23	3.0	3.0	0	2.0	4.0	4.0	3.0
92	23	3.0	1.0	1	4.0	4.0	2.0	4.0
94	23	3.0	1.0	1	4.0	4.0	2.0	3.0
96	23	3.0	1.0	1	4.0	2.0	4.0	99.0
97	23	3.0	3.0	0	2.0	4.0	4.0	2.0
99	23	3.0	3.0	0	4.0	4.0	2.0	4.0
100	23	1.0	1.0	1	4.0	4.0	2.0	4.0
101	23	3.0	1.0	1	4.0	2.0	4.0	2.0
102	23	3.0	3.0	2	4.0	4.0	2.0	1.0
103	23	3.0	1.0	1	2.0	4.0	4.0	3.0
104	23	3.0	3.0	0	4.0	4.0	2.0	3.0
105	23	3.0	5.0	0	2.0	4.0	4.0	4.0
107	23	3.0	3.0	0	2.0	4.0	4.0	2.0
118	23	1.0	3.0	0	4.0	4.0	2.0	3.0
120	23	3.0	3.0	1	4.0	4.0	2.0	4.0
132	23	3.0	1.0	1	4.0	4.0	2.0	2.0
142	23	3.0	3.0	0	2.0	4.0	4.0	3.0
143	23	1.0	5.0	0	2.0	4.0	2.0	3.0
144	23	3.0	3.0	0	2.0	4.0	4.0	4.0
146	23	3.0	3.0	0	2.0	4.0	4.0	3.0
147	23	3.0	3.0	0	2.0	4.0	4.0	7.0
149	23	3.0	1.0	1	4.0	4.0	2.0	3.0
151	23	3.0	3.0	0	2.0	4.0	4.0	5.0
154	23	3.0	1.0	1	4.0	4.0	2.0	4.0
155	23	3.0	5.0	0	4.0	2.0	4.0	4.0
156	23	1.0	1.0	1	4.0	4.0	2.0	4.0
157	23	3.0	3.0	0	2.0	4.0	4.0	4.0
158	23	1.0	3.0	0	2.0	4.0	4.0	6.0
160	23	3.0	3.0	1	2.0	4.0	4.0	2.0
161	23	3.0	1.0	1	2.0	4.0	4.0	4.0
162	23	3.0	1.0	1	2.0	4.0	4.0	4.0
165	23	3.0	3.0	0	2.0	4.0	4.0	4.0
169	23	3.0	1.0	1	2.0	4.0	4.0	3.0
170	23	1.0	1.0	1	4.0	4.0	2.0	2.0
171	23	3.0	3.0	0	2.0	4.0	2.0	4.0
172	23	3.0	3.0	0	2.0	4.0	4.0	2.0
173	23	3.0	3.0	3	2.0	4.0	4.0	2.0
174	23	1.0	1.0	1	4.0	2.0	4.0	4.0
176	23	3.0	3.0	0	4.0	4.0	2.0	6.0
179	23	3.0	1.0	1	4.0	4.0	2.0	4.0
183	23	3.0	5.0	0	2.0	4.0	4.0	2.0
186	23	3.0	1.0	1	4.0	4.0	2.0	4.0
190	23	3.0	3.0	0	4.0	4.0	2.0	5.0
191	23	3.0	3.0	0	4.0	4.0	2.0	4.0
193	23	3.0	5.0	1	4.0	4.0	2.0	2.0
201	23	3.0	3.0	1	4.0	4.0	2.0	1.0
204	23	3.0	1.0	1	4.0	4.0	2.0	5.0
205	23	3.0	3.0	0	4.0	4.0	2.0	3.0
209	23	3.0	3.0	1	4.0	4.0	2.0	99.0
210	23	3.0	5.0	0	4.0	4.0	2.0	2.0
216	23	1.0	3.0	0	4.0	4.0	2.0	6.0
218	23	3.0	3.0	1	4.0	2.0	4.0	3.0
220	23	1.0	3.0	1	4.0	2.0	2.0	3.0
222	23	3.0	3.0	0	4.0	4.0	2.0	3.0
225	23	3.0	1.0	1	4.0	4.0	2.0	2.0
226	23	3.0	3.0	0	2.0	4.0	4.0	3.0
227	23	3.0	1.0	1	4.0	4.0	2.0	2.0
229	23	3.0	3.0	1	2.0	2.0	4.0	4.0
231	23	1.0	3.0	1	2.0	2.0	4.0	0.0
233	23	3.0	3.0	0	2.0	4.0	4.0	5.0
236	23	3.0	3.0	0	4.0	4.0	2.0	2.0
237	23	3.0	3.0	0	4.0	4.0	2.0	6.0
242	23	3.0	3.0	0	2.0	4.0	4.0	4.0
243	23	1.0	1.0	1	4.0	4.0	2.0	7.0
244	23	3.0	3.0	2	4.0	4.0	2.0	7.0
249	23	3.0	1.0	1	4.0	4.0	2.0	4.0
250	23	3.0	3.0	0	4.0	4.0	2.0	3.0
251	23	3.0	3.0	0	4.0	4.0	2.0	4.0
253	23	3.0	1.0	1	4.0	2.0	4.0	4.0
258	23	3.0	1.0	1	2.0	4.0	4.0	3.0
263	23	3.0	1.0	0	4.0	4.0	2.0	99.0
264	23	3.0	1.0	1	2.0	4.0	4.0	3.0
265	23	1.0	1.0	1	2.0	2.0	4.0	4.0
269	23	3.0	1.0	1	2.0	4.0	4.0	3.0
270	23	3.0	1.0	1	2.0	4.0	4.0	4.0
271	23	3.0	1.0	1	2.0	4.0	4.0	5.0
273	23	3.0	1.0	0	2.0	4.0	4.0	4.0
276	23	3.0	3.0	1	4.0	4.0	2.0	2.0
283	23	1.0	1.0	1	4.0	4.0	2.0	6.0
285	23	3.0	1.0	1	4.0	4.0	2.0	4.0
287	23	3.0	3.0	0	2.0	4.0	4.0	4.0
288	23	3.0	3.0	0	2.0	4.0	4.0	4.0
289	23	1.0	3.0	1	4.0	4.0	2.0	3.0
290	23	3.0	3.0	2	2.0	4.0	4.0	3.0
294	23	3.0	3.0	0	2.0	4.0	4.0	2.0
297	23	3.0	1.0	1	4.0	2.0	4.0	4.0
300	23	1.0	3.0	1	4.0	4.0	2.0	5.0
303	23	1.0	1.0	1	2.0	4.0	4.0	3.0
304	23	3.0	3.0	0	2.0	4.0	4.0	4.0
307	23	3.0	3.0	0	2.0	2.0	4.0	5.0
309	23	3.0	1.0	2	2.0	4.0	4.0	3.0
310	23	3.0	3.0	0	2.0	4.0	4.0	1.0
313	23	1.0	3.0	1	2.0	4.0	4.0	3.0
315	23	1.0	3.0	1	2.0	4.0	4.0	3.0
322	23	3.0	3.0	1	4.0	4.0	2.0	2.0
324	23	3.0	3.0	0	2.0	2.0	4.0	5.0
327	23	1.0	1.0	2	4.0	4.0	2.0	6.0
330	23	1.0	1.0	2	2.0	2.0	4.0	5.0
332	23	3.0	3.0	1	2.0	4.0	2.0	7.0
335	23	3.0	3.0	0	2.0	4.0	4.0	2.0
336	23	3.0	3.0	0	4.0	2.0	2.0	3.0
340	23	3.0	1.0	1	4.0	2.0	4.0	6.0
342	23	1.0	1.0	3	2.0	4.0	2.0	7.0
347	23	3.0	3.0	1	2.0	4.0	4.0	3.0
348	23	3.0	3.0	2	4.0	4.0	2.0	5.0
352	23	3.0	3.0	0	4.0	4.0	2.0	4.0
355	23	3.0	3.0	1	4.0	2.0	2.0	4.0
358	23	3.0	3.0	1	4.0	4.0	2.0	4.0
371	23	3.0	3.0	1	4.0	4.0	2.0	7.0
378	23	3.0	1.0	0	4.0	4.0	2.0	3.0
390	23	3.0	3.0	1	4.0	4.0	2.0	5.0
392	23	3.0	1.0	1	4.0	4.0	2.0	6.0
393	23	1.0	1.0	1	4.0	4.0	2.0	4.0
394	23	3.0	3.0	0	4.0	4.0	2.0	5.0
395	23	3.0	1.0	1	4.0	4.0	2.0	5.0
397	23	3.0	1.0	2	4.0	4.0	2.0	7.0
398	23	3.0	3.0	1	4.0	4.0	2.0	7.0
399	23	1.0	1.0	4	4.0	4.0	2.0	7.0
400	23	3.0	3.0	0	4.0	4.0	2.0	2.0
401	23	3.0	1.0	3	4.0	4.0	2.0	7.0
402	23	3.0	1.0	1	4.0	4.0	2.0	4.0
406	23	3.0	3.0	1	4.0	2.0	2.0	2.0
407	23	3.0	3.0	0	4.0	2.0	4.0	3.0
408	23	3.0	3.0	0	4.0	4.0	2.0	3.0
410	23	3.0	3.0	1	2.0	4.0	4.0	4.0
412	23	3.0	5.0	0	4.0	4.0	2.0	4.0
414	23	3.0	3.0	0	4.0	4.0	2.0	3.0
419	23	1.0	1.0	1	4.0	4.0	2.0	4.0
420	23	1.0	1.0	1	4.0	4.0	2.0	6.0
429	23	3.0	1.0	2	4.0	4.0	2.0	4.0
434	23	3.0	1.0	1	4.0	4.0	2.0	2.0
442	23	3.0	1.0	1	4.0	2.0	4.0	2.0
448	23	1.0	1.0	1	4.0	2.0	4.0	4.0
449	23	3.0	1.0	1	4.0	4.0	2.0	5.0
454	23	3.0	1.0	1	4.0	4.0	2.0	5.0
456	23	3.0	3.0	1	2.0	4.0	4.0	4.0
459	23	3.0	1.0	0	4.0	4.0	2.0	4.0
460	23	3.0	1.0	1	2.0	2.0	4.0	5.0
462	23	3.0	1.0	1	4.0	4.0	2.0	3.0
464	23	3.0	1.0	0	2.0	4.0	2.0	3.0
465	23	3.0	1.0	0	2.0	4.0	4.0	3.0
466	23	3.0	3.0	0	2.0	4.0	4.0	4.0
467	23	3.0	3.0	0	4.0	2.0	4.0	2.0
470	23	3.0	3.0	1	2.0	4.0	4.0	3.0
472	23	3.0	3.0	1	2.0	4.0	4.0	4.0
476	23	3.0	3.0	0	4.0	2.0	4.0	3.0
478	23	3.0	1.0	0	2.0	4.0	4.0	3.0
481	23	3.0	1.0	0	4.0	2.0	4.0	2.0
482	23	3.0	1.0	1	2.0	4.0	2.0	4.0
484	23	1.0	3.0	0	2.0	4.0	4.0	4.0
485	23	3.0	1.0	1	4.0	4.0	2.0	4.0
506	23	3.0	1.0	0	4.0	2.0	4.0	3.0
523	23	3.0	1.0	1	4.0	2.0	4.0	2.0
526	23	1.0	1.0	1	2.0	4.0	2.0	3.0
528	23	3.0	1.0	1	2.0	4.0	2.0	1.0
530	23	3.0	3.0	0	2.0	4.0	2.0	3.0
533	23	3.0	1.0	1	4.0	4.0	2.0	4.0
536	23	3.0	3.0	0	2.0	4.0	4.0	3.0
537	23	1.0	1.0	1	2.0	4.0	2.0	2.0
540	23	1.0	1.0	1	4.0	2.0	4.0	4.0
541	23	3.0	1.0	2	2.0	4.0	2.0	3.0
545	23	3.0	1.0	2	2.0	4.0	2.0	6.0
546	23	3.0	1.0	1	2.0	4.0	2.0	1.0
549	23	3.0	3.0	0	2.0	4.0	4.0	4.0
550	23	3.0	3.0	0	4.0	4.0	2.0	3.0
554	23	1.0	1.0	2	4.0	4.0	2.0	4.0
559	23	1.0	1.0	1	2.0	4.0	2.0	5.0
562	23	1.0	1.0	1	2.0	4.0	2.0	6.0
563	23	1.0	1.0	2	2.0	4.0	2.0	5.0
565	23	3.0	1.0	1	2.0	4.0	2.0	2.0
566	23	3.0	3.0	0	2.0	4.0	4.0	1.0
587	23	3.0	3.0	1	2.0	4.0	4.0	5.0
588	23	3.0	3.0	0	2.0	4.0	4.0	2.0
589	23	3.0	3.0	1	2.0	4.0	2.0	7.0
590	23	3.0	3.0	2	2.0	4.0	4.0	4.0
591	23	3.0	3.0	0	2.0	4.0	4.0	4.0
593	23	3.0	3.0	1	4.0	4.0	2.0	7.0
594	23	3.0	3.0	1	2.0	4.0	2.0	5.0
596	23	3.0	3.0	0	2.0	4.0	4.0	3.0
598	23	3.0	1.0	2	4.0	4.0	2.0	4.0
600	23	3.0	3.0	2	2.0	4.0	2.0	7.0
601	23	3.0	3.0	1	2.0	4.0	2.0	99.0
604	23	3.0	3.0	0	2.0	4.0	4.0	2.0
607	23	3.0	3.0	0	2.0	4.0	4.0	1.0
608	23	3.0	3.0	0	2.0	4.0	4.0	1.0
609	23	1.0	1.0	1	2.0	4.0	4.0	4.0
613	23	1.0	3.0	3	4.0	4.0	2.0	3.0
615	23	3.0	3.0	0	2.0	4.0	4.0	3.0
616	23	3.0	3.0	1	2.0	4.0	4.0	3.0
620	23	3.0	3.0	1	2.0	4.0	4.0	3.0
621	23	3.0	3.0	0	2.0	4.0	4.0	99.0
626	23	3.0	3.0	1	2.0	4.0	2.0	5.0
629	23	3.0	3.0	0	2.0	4.0	2.0	1.0
632	23	1.0	3.0	1	2.0	4.0	4.0	4.0
634	23	3.0	3.0	1	4.0	4.0	2.0	4.0
635	23	3.0	3.0	0	2.0	4.0	4.0	2.0
636	23	3.0	3.0	0	2.0	4.0	2.0	6.0
639	23	3.0	3.0	1	4.0	4.0	2.0	2.0
640	23	3.0	3.0	0	2.0	4.0	2.0	2.0
641	23	3.0	3.0	0	2.0	4.0	2.0	4.0
642	23	3.0	3.0	0	2.0	4.0	2.0	4.0
643	23	3.0	3.0	0	2.0	4.0	4.0	3.0
644	23	3.0	3.0	0	2.0	4.0	4.0	5.0
645	23	3.0	3.0	1	2.0	4.0	2.0	5.0
651	23	3.0	1.0	1	4.0	4.0	2.0	4.0
668	23	3.0	3.0	0	4.0	4.0	2.0	3.0
672	23	1.0	1.0	2	4.0	4.0	2.0	4.0
679	23	3.0	3.0	0	4.0	2.0	4.0	4.0
682	23	3.0	3.0	0	2.0	4.0	4.0	3.0
683	23	3.0	3.0	0	2.0	4.0	4.0	3.0
686	23	3.0	3.0	1	4.0	4.0	2.0	3.0
688	23	1.0	1.0	3	2.0	4.0	2.0	4.0
689	23	1.0	1.0	2	2.0	4.0	2.0	99.0
692	23	1.0	1.0	2	4.0	4.0	2.0	5.0
693	23	1.0	1.0	2	2.0	4.0	4.0	7.0
697	23	3.0	3.0	1	2.0	4.0	4.0	7.0
699	23	1.0	1.0	0	4.0	4.0	2.0	3.0
700	23	1.0	1.0	2	2.0	4.0	2.0	5.0
702	23	1.0	1.0	4	2.0	4.0	2.0	99.0
703	23	1.0	1.0	1	4.0	4.0	2.0	5.0
705	23	1.0	3.0	1	2.0	4.0	4.0	7.0
707	23	1.0	1.0	2	4.0	4.0	2.0	6.0
710	23	3.0	3.0	0	4.0	4.0	2.0	4.0
711	23	1.0	1.0	2	2.0	4.0	2.0	7.0
713	23	3.0	1.0	1	2.0	4.0	4.0	7.0
714	23	3.0	1.0	1	2.0	4.0	4.0	3.0
715	23	3.0	1.0	1	2.0	4.0	2.0	3.0
718	23	1.0	1.0	1	2.0	4.0	2.0	4.0
719	23	3.0	1.0	3	4.0	4.0	2.0	4.0
721	23	3.0	3.0	0	2.0	4.0	4.0	3.0
722	23	3.0	3.0	0	2.0	4.0	4.0	2.0
724	23	3.0	3.0	0	2.0	4.0	4.0	4.0
731	23	3.0	1.0	2	2.0	4.0	4.0	4.0
736	23	3.0	3.0	0	2.0	4.0	4.0	2.0
737	23	3.0	3.0	0	2.0	4.0	4.0	2.0
738	23	3.0	1.0	1	4.0	4.0	2.0	3.0
739	23	3.0	3.0	2	4.0	4.0	2.0	7.0
741	23	1.0	1.0	2	4.0	4.0	2.0	4.0
742	23	3.0	3.0	1	2.0	4.0	4.0	6.0
745	23	3.0	3.0	2	2.0	4.0	4.0	99.0
747	23	3.0	1.0	1	4.0	4.0	2.0	5.0
748	23	3.0	1.0	1	4.0	4.0	2.0	4.0
749	23	1.0	1.0	1	2.0	4.0	4.0	5.0
751	23	1.0	1.0	1	4.0	4.0	2.0	5.0
752	23	1.0	1.0	1	2.0	4.0	2.0	5.0
753	23	1.0	1.0	3	2.0	4.0	4.0	6.0
754	23	1.0	1.0	1	4.0	4.0	2.0	6.0
755	23	1.0	1.0	1	2.0	4.0	2.0	4.0
756	23	1.0	1.0	1	2.0	4.0	2.0	7.0
757	23	1.0	1.0	2	2.0	4.0	4.0	99.0
758	23	3.0	3.0	0	2.0	4.0	2.0	7.0
763	23	3.0	3.0	1	2.0	4.0	2.0	99.0
765	23	1.0	1.0	3	2.0	4.0	2.0	99.0
766	23	3.0	3.0	1	2.0	4.0	2.0	99.0
768	23	1.0	1.0	1	4.0	4.0	2.0	99.0
769	23	3.0	1.0	0	2.0	4.0	4.0	6.0
770	23	3.0	1.0	1	2.0	4.0	2.0	4.0
771	23	3.0	1.0	1	2.0	4.0	2.0	4.0
772	23	3.0	3.0	0	2.0	4.0	2.0	3.0
773	23	3.0	3.0	0	4.0	4.0	2.0	4.0
775	23	3.0	1.0	1	2.0	4.0	2.0	5.0
777	23	3.0	3.0	0	2.0	4.0	4.0	4.0
778	23	3.0	1.0	1	2.0	4.0	2.0	5.0
780	23	1.0	1.0	1	2.0	4.0	4.0	4.0
781	23	1.0	1.0	1	4.0	4.0	2.0	4.0
784	23	3.0	3.0	2	2.0	4.0	4.0	7.0
787	23	3.0	3.0	0	2.0	4.0	2.0	2.0
790	23	3.0	3.0	1	4.0	2.0	2.0	99.0
794	23	3.0	1.0	1	4.0	4.0	2.0	5.0
795	23	3.0	1.0	1	2.0	4.0	4.0	3.0
796	23	3.0	3.0	1	4.0	4.0	2.0	99.0
799	23	3.0	3.0	0	4.0	4.0	2.0	4.0
800	23	3.0	3.0	1	2.0	4.0	2.0	3.0
802	23	3.0	3.0	1	4.0	4.0	2.0	4.0
803	23	3.0	3.0	1	2.0	4.0	4.0	4.0
805	23	3.0	1.0	1	2.0	4.0	2.0	3.0
807	23	3.0	1.0	1	2.0	4.0	2.0	3.0
815	23	3.0	3.0	0	2.0	4.0	4.0	3.0
818	23	1.0	1.0	1	2.0	4.0	4.0	4.0
819	23	3.0	3.0	0	4.0	2.0	4.0	2.0
822	23	1.0	1.0	1	2.0	4.0	4.0	3.0
824	23	3.0	3.0	1	2.0	4.0	4.0	3.0
827	23	1.0	1.0	1	4.0	4.0	2.0	5.0
828	23	3.0	3.0	0	2.0	4.0	4.0	6.0
831	23	3.0	1.0	1	2.0	4.0	2.0	4.0
832	23	1.0	1.0	1	2.0	4.0	4.0	4.0
833	23	3.0	1.0	1	2.0	4.0	2.0	3.0
834	23	3.0	3.0	0	2.0	4.0	4.0	3.0
837	23	3.0	3.0	0	2.0	4.0	4.0	3.0
839	23	3.0	3.0	0	4.0	4.0	2.0	4.0
840	23	3.0	3.0	0	4.0	4.0	2.0	99.0
841	23	3.0	3.0	1	2.0	4.0	2.0	99.0
843	23	3.0	3.0	0	4.0	4.0	2.0	4.0
851	23	3.0	3.0	1	2.0	4.0	4.0	3.0
852	23	3.0	3.0	0	2.0	4.0	4.0	3.0
854	23	3.0	3.0	0	2.0	4.0	4.0	2.0
855	23	3.0	3.0	0	2.0	4.0	4.0	2.0
856	23	1.0	1.0	1	2.0	4.0	4.0	4.0
858	23	1.0	3.0	1	2.0	4.0	4.0	2.0
861	23	3.0	3.0	1	4.0	4.0	2.0	3.0
862	23	3.0	3.0	0	4.0	4.0	2.0	3.0
870	23	3.0	3.0	0	2.0	4.0	4.0	1.0
871	23	3.0	3.0	0	4.0	4.0	2.0	2.0
874	23	3.0	3.0	1	2.0	4.0	4.0	3.0
875	23	3.0	3.0	0	4.0	4.0	2.0	3.0
880	23	3.0	3.0	2	2.0	4.0	2.0	4.0
885	23	3.0	3.0	0	2.0	4.0	4.0	3.0
892	23	3.0	3.0	1	2.0	4.0	4.0	3.0
897	23	3.0	1.0	1	4.0	4.0	2.0	3.0
905	23	3.0	3.0	0	2.0	4.0	4.0	3.0
910	23	1.0	1.0	2	4.0	4.0	2.0	4.0
913	23	1.0	5.0	1	2.0	4.0	2.0	4.0
919	23	3.0	3.0	0	4.0	4.0	2.0	4.0
926	23	3.0	3.0	0	2.0	4.0	4.0	4.0
927	23	3.0	5.0	1	2.0	4.0	2.0	3.0
932	23	3.0	3.0	0	4.0	4.0	2.0	4.0
934	23	3.0	1.0	1	4.0	4.0	2.0	4.0
935	23	3.0	3.0	0	4.0	4.0	2.0	99.0
936	23	3.0	1.0	1	4.0	4.0	2.0	5.0
937	23	3.0	1.0	2	4.0	4.0	2.0	6.0
950	23	1.0	1.0	1	4.0	4.0	2.0	6.0
951	23	1.0	1.0	3	4.0	4.0	2.0	99.0
969	23	3.0	3.0	0	4.0	2.0	4.0	3.0
972	23	3.0	3.0	1	4.0	4.0	2.0	3.0
973	23	3.0	1.0	1	4.0	2.0	4.0	6.0
974	23	3.0	3.0	0	4.0	4.0	2.0	3.0
975	23	3.0	3.0	0	2.0	4.0	4.0	2.0
979	23	3.0	3.0	0	4.0	4.0	2.0	1.0
983	23	3.0	1.0	1	4.0	2.0	4.0	99.0
985	23	3.0	3.0	2	4.0	4.0	2.0	3.0
986	23	3.0	1.0	1	4.0	4.0	2.0	4.0
987	23	3.0	3.0	3	2.0	4.0	2.0	6.0
988	23	1.0	3.0	0	2.0	4.0	2.0	3.0
989	23	3.0	1.0	2	2.0	4.0	4.0	6.0
991	23	3.0	3.0	0	2.0	4.0	2.0	3.0
992	23	3.0	5.0	1	4.0	4.0	2.0	4.0
994	23	1.0	1.0	1	2.0	4.0	4.0	7.0
997	23	3.0	1.0	1	2.0	4.0	4.0	3.0
999	23	3.0	3.0	0	4.0	4.0	2.0	99.0
1001	23	1.0	1.0	1	4.0	4.0	2.0	4.0
1002	23	3.0	3.0	0	4.0	4.0	2.0	4.0
1005	23	3.0	5.0	0	4.0	4.0	2.0	7.0
1007	23	3.0	3.0	2	2.0	4.0	2.0	3.0
1008	23	3.0	3.0	0	2.0	4.0	4.0	4.0
1009	23	3.0	3.0	0	2.0	4.0	4.0	2.0
1010	23	3.0	3.0	0	2.0	4.0	4.0	3.0
1011	23	3.0	3.0	1	2.0	4.0	4.0	4.0
1012	23	3.0	1.0	1	4.0	4.0	2.0	3.0
1014	23	3.0	3.0	0	4.0	4.0	2.0	6.0
1015	23	3.0	3.0	0	4.0	4.0	2.0	3.0
1016	23	3.0	1.0	1	2.0	4.0	4.0	3.0
1017	23	1.0	1.0	1	2.0	4.0	2.0	3.0
1019	23	3.0	3.0	0	2.0	4.0	2.0	2.0
1021	23	1.0	1.0	2	2.0	4.0	2.0	5.0
1022	23	3.0	3.0	1	2.0	4.0	4.0	99.0
1026	23	3.0	3.0	1	2.0	4.0	4.0	3.0
1031	23	3.0	3.0	0	4.0	4.0	2.0	4.0
1032	23	3.0	3.0	1	2.0	4.0	4.0	4.0
1036	23	3.0	3.0	1	2.0	4.0	4.0	4.0
1051	23	1.0	3.0	1	4.0	4.0	2.0	4.0
1056	23	3.0	3.0	0	4.0	4.0	2.0	3.0
1058	23	3.0	3.0	0	2.0	4.0	2.0	5.0
1059	23	3.0	1.0	1	2.0	4.0	4.0	2.0
1062	23	3.0	1.0	1	2.0	4.0	4.0	3.0
1064	23	3.0	3.0	1	2.0	4.0	2.0	4.0
1067	23	3.0	1.0	2	4.0	4.0	2.0	3.0
1068	23	3.0	3.0	0	4.0	4.0	2.0	2.0
1070	23	3.0	1.0	0	2.0	4.0	4.0	3.0
1072	23	3.0	3.0	1	4.0	4.0	2.0	4.0
1074	23	3.0	1.0	0	4.0	4.0	2.0	1.0
1078	23	3.0	3.0	0	2.0	4.0	2.0	4.0
1080	23	1.0	3.0	1	4.0	4.0	2.0	5.0
1082	23	3.0	3.0	1	2.0	4.0	4.0	4.0
1083	23	3.0	1.0	0	2.0	4.0	4.0	3.0
1084	23	3.0	3.0	0	2.0	4.0	2.0	4.0
1089	23	3.0	1.0	0	2.0	4.0	4.0	2.0
1090	23	3.0	1.0	0	2.0	4.0	4.0	2.0
1092	23	3.0	3.0	1	4.0	4.0	2.0	4.0
1096	23	3.0	3.0	0	2.0	4.0	2.0	4.0
1099	23	1.0	1.0	2	4.0	4.0	2.0	4.0
1100	23	3.0	3.0	0	4.0	4.0	2.0	3.0
1101	23	3.0	5.0	0	4.0	4.0	2.0	4.0
1103	23	3.0	3.0	0	4.0	4.0	2.0	4.0
1105	23	1.0	3.0	1	4.0	4.0	2.0	4.0
1110	23	1.0	1.0	0	4.0	4.0	2.0	3.0
1112	23	3.0	3.0	0	4.0	4.0	2.0	4.0
1113	23	3.0	3.0	0	4.0	4.0	2.0	3.0
1114	23	3.0	3.0	0	4.0	4.0	2.0	4.0
1119	23	3.0	1.0	0	2.0	4.0	4.0	1.0
1121	23	1.0	1.0	1	4.0	4.0	2.0	4.0
1122	23	3.0	3.0	0	4.0	4.0	2.0	3.0
1130	23	3.0	1.0	1	4.0	2.0	4.0	99.0
1136	23	3.0	3.0	1	2.0	2.0	4.0	5.0
1142	23	3.0	3.0	2	2.0	4.0	4.0	3.0
1143	23	1.0	1.0	0	2.0	4.0	4.0	3.0
1144	23	3.0	3.0	0	2.0	4.0	4.0	4.0
1145	23	3.0	3.0	0	2.0	4.0	4.0	3.0
1148	23	3.0	3.0	0	2.0	4.0	4.0	2.0
1149	23	3.0	3.0	1	2.0	4.0	4.0	4.0
1151	23	3.0	1.0	1	2.0	4.0	4.0	2.0
1153	23	3.0	3.0	0	2.0	4.0	4.0	2.0
1156	23	3.0	3.0	0	2.0	4.0	4.0	3.0
1157	23	3.0	3.0	0	2.0	4.0	4.0	3.0
1158	23	3.0	3.0	0	2.0	4.0	4.0	4.0
1163	23	3.0	1.0	1	2.0	4.0	2.0	3.0
1166	23	1.0	3.0	0	2.0	2.0	4.0	4.0
1167	23	3.0	1.0	1	2.0	4.0	4.0	3.0
1173	23	3.0	1.0	1	2.0	4.0	4.0	3.0
